year,china,hk,japan,korea,singapore,us
1990,3.9071139,5.70200752,4.89271307,9.81122968,9.82097169,1.88596032
1991,9.29407591,6.23502523,3.41749676,10.3539514,6.68847208,-0.1082591
1992,14.2161636,6.20112535,0.84806958,6.17550569,6.6396629,3.52244249
1993,13.867576,6.03602958,-0.5179198,6.84674392,11.462875,2.75284433
1994,13.0521587,2.37374178,0.99306636,9.20614152,11.0976076,4.02883906
1995,10.9492274,4.25845079,2.74214032,9.57060413,7.2009798,2.68428713
1996,9.92837246,5.09967952,3.09999929,7.59450909,7.47131074,3.77250132
1997,9.23076923,-5.8826208,1.07604523,5.92218546,8.31982163,4.44721634
1998,7.83761392,2.50662884,-1.1284098,-5.4712193,-2.1953278,4.48140755
1999,7.66748617,7.66348595,-0.2519543,11.3086215,5.72400277,4.75323599
2000,8.49150849,0.56083648,2.77963283,8.92442603,9.03919574,4.12748401
2001,8.33991055,1.65660279,0.4063359,4.52530676,-1.069106,0.9983408
2002,9.13064594,3.05628198,0.11799278,7.43243361,3.91467511,1.74169525
2003,10.035603,8.70008463,1.52822015,2.9332179,4.53580678,2.86121077
2004,10.1112235,7.38817803,2.20468788,4.89984045,9.81952686,3.79889113
2005,11.3957759,7.0325863,1.66267041,3.92367739,7.35903621,3.5132138
2006,12.719479,6.46479438,1.42000656,5.17615382,9.005188,2.85497229
2007,14.231388,2.12789897,1.65418388,5.46339639,9.02211657,1.87617146
2008,9.65428937,-2.4591318,-1.0935406,2.82922317,1.86821239,-0.1365798
2009,9.39981317,6.76768541,-5.4164128,0.70750995,0.12100381,-2.5367571
2010,10.6361405,4.81467724,4.19173926,6.49679359,14.5256467,2.56376656
2011,9.55091409,1.7002774,-0.1154213,3.68168857,6.26226776,1.55083551
2012,7.85962749,3.10151622,1.49508959,2.29239785,4.4493158,2.24954585
2013,7.76861528,2.76239445,2.00026784,2.89620494,4.81504504,1.84208107
2014,7.29951892,2.38780805,0.37471948,3.34144776,3.90057323,2.45197304
2015,6.90531667,2.17639235,1.22292104,2.79023617,2.89249923,2.88091047
2016,6.73667525,3.83840631,0.60909318,2.92930479,2.96232726,1.56721517
2017,6.75700761,3.02140153,1.92875725,3.06276846,3.69978158,2.21701033
2018,6.6,,0.78796541,2.6683114,3.13946454,2.85698782
